## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,1.000000,1.000000,Results,7.153296,2.004475,19
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000001,0.000001
Dist,1.000000,0.000022,0.000023
Dist,2.000000,0.000352,0.000375
Dist,3.000000,0.003907,0.004282
Dist,4.000000,0.027533,0.031814
Dist,5.000000,0.105277,0.137091
Dist,6.000000,0.173420,0.310512
Dist,7.000000,0.256955,0.567467
Dist,8.000000,0.258622,0.826089
Dist,9.000000,0.145124,0.971213
Dist,10.000000,0.026703,0.997916
Dist,11.000000,0.002007,0.999923
Dist,12.000000,0.000075,0.999998
Dist,13.000000,0.000002,1.000000
Dist,14.000000,0.000000,1.000000
Dist,15.000000,0.000000,1.000000
Dist,16.000000,0.000000,1.000000
Dist,17.000000,0.000000,1.000000
Dist,18.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,1.000000,1.000000,Results,1.386220,1.388985,19
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.264500,0.264500
Dist,1.000000,0.331396,0.595897
Dist,2.000000,0.222330,0.818227
Dist,3.000000,0.116932,0.935159
Dist,4.000000,0.064838,0.999997
Dist,5.000000,0.000003,1.000000
Dist,6.000000,0.000000,1.000000
Dist,7.000000,0.000000,1.000000
Dist,8.000000,0.000000,1.000000
Dist,9.000000,0.000000,1.000000
Dist,10.000000,0.000000,1.000000
Dist,11.000000,0.000000,1.000000
Dist,12.000000,0.000000,1.000000
Dist,13.000000,0.000000,1.000000
Dist,14.000000,0.000000,1.000000
Dist,15.000000,0.000000,1.000000
Dist,16.000000,0.000000,1.000000
Dist,17.000000,0.000000,1.000000
Dist,18.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToLucca,1.000000,1.000000,Results,1.447289,1.584563,8
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.256074,0.256074
Dist,1.000000,0.323869,0.579943
Dist,2.000000,0.232397,0.812340
Dist,3.000000,0.119059,0.931399
Dist,4.000000,0.047567,0.978966
Dist,5.000000,0.015609,0.994575
Dist,6.000000,0.004839,0.999414
Dist,7.000000,0.000586,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainToViareggio,1.000000,1.000000,Results,8.012487,1.390780,19
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.000003,0.000003
Dist,2.000000,0.000062,0.000066
Dist,3.000000,0.000901,0.000966
Dist,4.000000,0.005212,0.006179
Dist,5.000000,0.022205,0.028384
Dist,6.000000,0.074673,0.103057
Dist,7.000000,0.190499,0.293556
Dist,8.000000,0.331140,0.624695
Dist,9.000000,0.310774,0.935470
Dist,10.000000,0.059843,0.995313
Dist,11.000000,0.004514,0.999827
Dist,12.000000,0.000169,0.999996
Dist,13.000000,0.000004,1.000000
Dist,14.000000,0.000000,1.000000
Dist,15.000000,0.000000,1.000000
Dist,16.000000,0.000000,1.000000
Dist,17.000000,0.000000,1.000000
Dist,18.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,6.000000,6.000000,Results,1.509530,3.801368,19
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.433723,0.433723
Dist,1.000000,0.188396,0.622120
Dist,2.000000,0.144521,0.766640
Dist,3.000000,0.095514,0.862155
Dist,4.000000,0.056556,0.918711
Dist,5.000000,0.032810,0.951521
Dist,6.000000,0.019770,0.971291
Dist,7.000000,0.012107,0.983398
Dist,8.000000,0.007308,0.990706
Dist,9.000000,0.004299,0.995005
Dist,10.000000,0.002428,0.997432
